Exam,Homepage,CutoffURL
Rajasthan University of Health Sciences Paramedical Entrance Examination,https://www.ruhsraj.org/,https://www.ruhsraj.org/admission/
Rajiv Gandhi Institute of Petroleum Technology Bachelor of Technology Entrance Examination,https://www.rgipt.ac.in/,https://www.rgipt.ac.in/admission.html
Rashtriya Raksha University (Police),https://rru.ac.in/,https://rru.ac.in/admissions/
REVA University Entrance Test,https://www.reva.edu.in/,https://www.reva.edu.in/admissions
School of Fashion India Entrance Test,https://www.schooloffashion.in/,https://www.schooloffashion.in/admissions
School of Fashion Technology Entrance Test,https://www.soft.ac.in/,https://www.soft.ac.in/admission/
Sharda University Admission Test,https://www.sharda.ac.in/admissions/suat,https://www.sharda.ac.in/admissions/suat
Sharda University Admission Test Engineering,https://www.sharda.ac.in/admissions/suat,https://www.sharda.ac.in/admissions/suat
Shiv Nadar University Entrance Test,https://snu.edu.in/home/admissions/,https://snu.edu.in/home/admissions/undergraduate/
Shiv Nadar University Management Aptitude Test and Entrance Examination,https://snu.edu.in/home/admissions/,https://snu.edu.in/home/admissions/
Shiv Nadar University Scholastic Aptitude Test,https://snu.edu.in/home/admissions/,https://snu.edu.in/home/admissions/undergraduate/
Sikkim Bachelor of Business Administration Entrance Examination,https://cus.ac.in/,https://www.shiksha.com/university/sikkim-manipal-university-gangtok-3132/course-bba-167176
Sikkim Manipal University Design Entrance Examination,https://smu.edu.in/smu.html,https://smu.edu.in/smu/admissions.html
Sikkim Manipal University Entrance Test,https://smu.edu.in/smu.html,https://smu.edu.in/smu/admissions.html
Sikkim Polytechnic Entrance Examination,https://sikkim.gov.in/departments/department-of-human-resource-development,https://sikkim.gov.in/departments/department-of-human-resource-development
Sir Jamsetjee Jeejebhoy School of Art Entrance Examination,https://www.sirjjschoolofart.in/,https://cetcell.mahacet.org/
Somaiya Design Entrance Examination,https://kjsieit.somaiya.edu/en,https://admissions.somaiya.edu/
Srishti Manipal (Design),https://srishtimanipal.edu.in/,https://srishtimanipal.edu.in/admissions.html
SRM Institute Admission Test,https://applications.srmist.edu.in/,https://applications.srmist.edu.in/
SRM Joint Engineering Entrance Examination,https://applications.srmist.edu.in/,https://applications.srmist.edu.in/
St Joseph's University Entrance Examination,https://www.sju.edu.in/,https://www.sju.edu.in/admissions
St Xavier's College Entrance Examination,https://xaviers.edu/main/,https://xaviers.edu/main/index.php/admissions
State Teacher Eligibility Tests,Respective State TET Portals,"Use state-specific TET qualifying marks/result pages (e.g., REET, HTET, CTET-equivalent state portals)"
Swami Vivekananda Yoga Anusandhana Samsthana Bachelor of Science Yoga Entrance Examination,https://svyasa.edu.in/,https://svyasa.edu.in/admissions/
Symbiosis Entrance Test,https://www.set-test.org/,https://www.set-test.org/
Symbiosis Institute of Design Entrance Test,https://www.sid.edu.in/,https://www.sid.edu.in/admissions
Symbiosis Institute Of Media Entrance,https://www.simc.edu/,https://www.simc.edu/admissions
Symbiosis Institute of Technology Engineering Entrance Examination,https://www.sitpune.edu.in/,https://www.sitpune.edu.in/admissions
Symbiosis Law Admission Test,https://www.slat-test.org/,https://www.slat-test.org/
Symbiosis Liberal Arts Entrance,https://ssla.edu.in/,https://ssla.edu.in/admissions
Tamil Nadu Bachelor of Business Administration Entrance Examination,https://www.tngasa.in/,https://www.shiksha.com/bba/colleges/bba-colleges-tamil-nadu
Tamil Nadu Dr Ambedkar Law University Entrance Test,https://tndalu.ac.in/,https://tndalu.ac.in/admission.php
Tamil Nadu Engineering Admissions,https://www.tneaonline.org/,https://www.tneaonline.org/pages/opening-closing-ranks.html
Tamil Nadu Polytechnic Entrance Examination,https://www.tndte.gov.in/,https://www.tndte.gov.in/site/polytechnic-admission/
Tata Institute of Social Sciences Bachelor Admission Test,https://www.tiss.edu/,https://admissions.tiss.edu/
Tata Institute of Social Sciences Bachelor of Vocation Agriculture Entrance Examination,https://www.tiss.edu/,https://admissions.tiss.edu/
Telangana Engineering Agriculture and Pharmacy Common Entrance Test Biology Physics Chemistry Stream,https://eapcet.tgche.ac.in/,https://eapcet.tgche.ac.in/TSEAMCET/EamcetLastRankDetails.aspx
Telangana Law Common Entrance Test,https://lawcet.tgche.ac.in/,https://lawcet.tgche.ac.in/
Telangana State Engineering Agriculture and Medical Common Entrance Test,https://eapcet.tgche.ac.in/,https://eapcet.tgche.ac.in/TSEAMCET/EamcetLastRankDetails.aspx
Telangana State Polytechnic Common Entrance Test,https://polycet.sbtet.telangana.gov.in/,https://polycet.sbtet.telangana.gov.in/
The Design Village Entrance Test,https://www.thedesignvillage.org/,https://www.thedesignvillage.org/admissions
Tripura Board of Joint Entrance Examination,https://tbjee.nic.in/,https://tbjee.nic.in/
Tripura Polytechnic Entrance Examination,https://highereducation.tripura.gov.in/,https://highereducation.tripura.gov.in/
Undergraduate Common Entrance Examination for Design,https://www.uceed.iitb.ac.in/,https://www.uceed.iitb.ac.in/2025/
Unitedworld Institute of Design Entrance Examination,https://www.uid.edu.in/,https://www.uid.edu.in/admissions/
University of Petroleum and Energy Studies Design Entrance Examination,https://www.upes.ac.in/,https://admissions.upes.ac.in/
University of Petroleum and Energy Studies Disaster Management Entrance Examination,https://www.upes.ac.in/,https://admissions.upes.ac.in/
University of Petroleum and Energy Studies Engineering Aptitude Test,https://www.upes.ac.in/,https://admissions.upes.ac.in/
University of Petroleum and Energy Studies Entrance Test,https://www.upes.ac.in/,https://admissions.upes.ac.in/
Uttar Pradesh Combined Agriculture and Technology Entrance Test,https://upcatet.net/,https://upcatet.net/
Uttar Pradesh Combined Paramedical Entrance Test,https://abvmuup.edu.in/,https://abvmuup.edu.in/
Uttar Pradesh Common Nursing Entrance Test,https://abvmuup.edu.in/,https://abvmuup.edu.in/
Uttar Pradesh Paramedical Entrance Test,https://abvmuup.edu.in/,https://abvmuup.edu.in/
Uttar Pradesh State Entrance Examination Abdul Kalam Technical University,https://uptac.admissions.nic.in/,https://uptac.admissions.nic.in/or-cr/
Uttar Pradesh State Entrance Examination Bachelor of Hotel Management and Catering Technology,https://uptac.admissions.nic.in/,https://uptac.admissions.nic.in/or-cr/
Uttarakhand Joint Entrance Examination Polytechnic,https://ubterjeep.co.in/,https://ubterjeep.co.in/
Uttarakhand Nursing Entrance Exam,https://hnbumu.ac.in/,https://hnbumu.ac.in/admissions/
Uttarakhand Paramedical Entrance Exam,https://hnbumu.ac.in/,https://hnbumu.ac.in/admissions/
Uttarakhand State Entrance Examination,https://uktech.ac.in/,https://uktech.ac.in/en/page/admissions
Vellore Institute of Technology Design Entrance Examination,https://vit.ac.in/admissions/ug,https://vit.ac.in/admissions/ug
Vellore Institute of Technology Engineering Entrance Examination,https://viteee.vit.ac.in/,https://viteee.vit.ac.in/
Vogue Institute of Art and Design Entrance Examination,https://voguefashioninstitute.com/,https://voguefashioninstitute.com/admission/
Vogue University Design Entrance Examination,https://voguefashioninstitute.com/,https://voguefashioninstitute.com/admission/
West Bengal Bachelor of Arts Admission,https://wbcap.in/,https://wbcap.in/
West Bengal Joint Entrance Examination,https://wbjeeb.nic.in/wbjee/,https://admissions.nic.in/WBJEEB/Applicant/Report/OpenCloseRank.aspx
"West Bengal Joint Entrance Test for Nursing, Paramedical and Allied Sciences Undergraduate",https://wbjeeb.nic.in/jenpas-ug/,https://wbjeeb.nic.in/jenpas-ug/
West Bengal Paramedical Entrance Test,https://wbjeeb.nic.in/jenpas-ug/,https://wbjeeb.nic.in/jenpas-ug/
Whistling Woods International Design Entrance Examination,https://www.whistlingwoods.net/,https://www.whistlingwoods.net/admissions/
World University of Design Aptitude Test Visual Arts,https://www.worlduniversityofdesign.ac.in/,https://www.worlduniversityofdesign.ac.in/admissions/
World University of Design Entrance Test,https://www.worlduniversityofdesign.ac.in/,https://www.worlduniversityofdesign.ac.in/admissions/
